timestamp,station_id,statistical_anomaly_score,isolation_forest_raw,isolation_forest_norm,autoencoder_raw,autoencoder_norm,temporal_score,cross_sensor_score,hybrid_score,evidence_strength,evidence_reasons,sensor_fault_score,genuine_weather_score,evidence_conflict_score,final_classification,fault_type_inferred,trust_score,explanations
2024-05-11 03:55:00,CWPRS campus,0.0766,-0.0360560330098946,0.3754727423126936,0.04187925,0.10425762,0.0,0.0,0.1724306331293416,LOW,[],0.12169183446253873,0.179148476,0.2712151223126936,GENUINE_WEATHER,NONE,86.1,Behavior appears normal and consistent.
2024-05-11 04:00:00,CWPRS campus,0.25,-0.011013236787391,0.5836294094233473,0.05601895,0.14608292,1.0,0.0,0.3231302842351424,LOW,"[""Abrupt temporal deviation from rolling baseline.""]",0.5105507578846695,0.37078341600000003,0.4375464894233473,UNCERTAIN,SPIKE,55.5,Behavior appears normal and consistent.
2024-05-11 04:05:00,CWPRS campus,0.1434,-0.0254457455619736,0.4636658519248136,0.041077226,0.10188523,1.0,0.0,0.2543823702520122,LOW,"[""Abrupt temporal deviation from rolling baseline.""]",0.4519787393849627,0.379622954,0.3617806219248136,GENUINE_WEATHER,NONE,61.1,Behavior appears normal and consistent.
2024-05-11 04:10:00,CWPRS campus,0.0621,-0.0320818531194386,0.408506275515033,0.03904382,0.095870405,0.0,0.0,0.1766970853722909,LOW,[],0.1228823766030066,0.180825919,0.312635870515033,GENUINE_WEATHER,NONE,85.1,Behavior appears normal and consistent.
2024-05-11 04:15:00,CWPRS campus,0.2028,-0.0300480745620453,0.4254111196221651,0.0522478,0.13492784,1.0,1.0,0.3153672554070276,LOW,"[""Abrupt temporal deviation from rolling baseline."", ""Concurrent multi-sensor abnormality detected.""]",0.16612057592443305,0.973014432,0.29048327962216514,GENUINE_WEATHER,NONE,100.0,"Multiple sensors show coordinated, consistent changes."
2024-05-11 04:20:00,CWPRS campus,0.25,-0.0337309460141911,0.3947989531506452,0.03726621,0.09061221,1.0,0.0,0.2387457911118672,LOW,"[""Abrupt temporal deviation from rolling baseline.""]",0.45614345363012904,0.381877558,0.3041867431506452,GENUINE_WEATHER,NONE,62.0,Behavior appears normal and consistent.
2024-05-11 04:25:00,CWPRS campus,0.1743,-0.0080019522103272,0.6086593204490194,0.043992516,0.11050866,1.0,0.0,0.3052821251306488,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]",0.4897444620898039,0.37789826800000004,0.4981506604490194,UNCERTAIN,SPIKE,55.8,Behavior appears normal and consistent.
2024-05-11 04:30:00,CWPRS campus,0.1007,-0.0286430002085528,0.4370901506643472,0.06467566,0.17168953,0.0,0.0,0.2270418078226142,LOW,[],0.15906488913286942,0.165662094,0.2654006206643472,GENUINE_WEATHER,NONE,83.6,Behavior appears normal and consistent.
2024-05-11 04:35:00,CWPRS campus,0.1539,-0.0194256339298942,0.5137052469601674,0.056780994,0.14833705,1.0,0.0,0.2936700997242463,LOW,"[""Abrupt temporal deviation from rolling baseline.""]",0.4780221643920335,0.37033259,0.3653681969601674,GENUINE_WEATHER,NONE,59.2,Behavior appears normal and consistent.
2024-05-11 04:40:00,CWPRS campus,0.0728,-0.0254412155916266,0.4637035052092612,0.049987383,0.12824152,0.0,0.0,0.2105118136129302,LOW,[],0.14577315704185223,0.174351696,0.3354619852092612,GENUINE_WEATHER,NONE,83.1,Behavior appears normal and consistent.
