statistical_anomaly_score,isolation_forest_raw,isolation_forest_norm,autoencoder_raw,autoencoder_norm,temporal_score,cross_sensor_score,hybrid_score,evidence_strength,evidence_reasons
0.0,-0.025063485940688857,0.4668432083202672,0.041117,0.10200287,0.0,0.0,0.19105439577917074,LOW,[]
0.1732,-0.025742601972318424,0.46119837024110755,0.03126808,0.07286971,1.0,0.0,0.24211436638444128,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.115,-0.024988778581155446,0.4674641787115503,0.024372453,0.05247241,0.0,0.0,0.17797545804392603,LOW,[]
0.0498,-0.019684146898943544,0.5115564774072756,0.03420579,0.08155947,0.0,0.0,0.1992266791151938,LOW,[]
0.1804,0.0011969714816371102,0.6851211212683652,0.021317557,0.043436006,1.0,0.0,0.2952943392362873,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.0,-0.024269020944885922,0.47344683134195725,0.01956637,0.03825599,0.0,0.0,0.16116204417835928,LOW,[]
0.0368,-0.018126949762348188,0.5244999587624714,0.013900364,0.02149591,0.0,0.0,0.17177794280944597,LOW,[]
0.1874,0.004525191641973736,0.7127854128207444,0.040820196,0.10112493,1.0,1.0,0.38313808754699463,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline."", ""Concurrent multi-sensor abnormality detected.""]"
0.0039,-0.00971955210245029,0.5943825653375968,0.035757627,0.08614982,0.0,0.0,0.2217796791989143,LOW,[]
0.1329,9.955116478721493e-05,0.6759993221870902,0.023895226,0.05106077,1.0,0.0,0.29162018150960933,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.0207,-0.0037121741185077717,0.6443161178091737,0.042604093,0.1064017,0.0,0.0,0.24856568374334492,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0487,-0.014132724272027164,0.5577001117472454,0.022989636,0.04838203,0.0,0.0,0.19637104799284352,LOW,[]
0.1608,-0.0031674243313308814,0.6488440985945656,0.027439302,0.061544165,1.0,0.0,0.29150531208598,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.0537,0.0010290933306840166,0.6837257117433022,0.06510163,0.17294955,0.0,0.0,0.29696248979099604,LOW,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.1428,0.005008087027929653,0.716799257489311,0.061847802,0.1633247,1.0,0.0,0.36098212664969775,LOW,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
