station_id,latitude,longitude,original_time,timestamp,year,month,day,hour,day_of_year,temperature
CWPRS campus,18.446944,73.785,11-05-2024 06:15,2024-05-11 06:15:00,2024,5,11,6,132,27.3
CWPRS campus,18.446944,73.785,11-05-2024 06:20,2024-05-11 06:20:00,2024,5,11,6,132,27.5
CWPRS campus,18.446944,73.785,11-05-2024 06:25,2024-05-11 06:25:00,2024,5,11,6,132,27.7
CWPRS campus,18.446944,73.785,11-05-2024 06:30,2024-05-11 06:30:00,2024,5,11,6,132,27.8
CWPRS campus,18.446944,73.785,11-05-2024 06:35,2024-05-11 06:35:00,2024,5,11,6,132,27.9
CWPRS campus,18.446944,73.785,11-05-2024 06:40,2024-05-11 06:40:00,2024,5,11,6,132,27.8
CWPRS campus,18.446944,73.785,11-05-2024 06:45,2024-05-11 06:45:00,2024,5,11,6,132,27.9
CWPRS campus,18.446944,73.785,11-05-2024 06:50,2024-05-11 06:50:00,2024,5,11,6,132,28.1
CWPRS campus,18.446944,73.785,11-05-2024 06:55,2024-05-11 06:55:00,2024,5,11,6,132,28.5
CWPRS campus,18.446944,73.785,11-05-2024 07:00,2024-05-11 07:00:00,2024,5,11,7,132,28.5
CWPRS campus,18.446944,73.785,11-05-2024 07:05,2024-05-11 07:05:00,2024,5,11,7,132,28.6
CWPRS campus,18.446944,73.785,11-05-2024 07:10,2024-05-11 07:10:00,2024,5,11,7,132,28.6
CWPRS campus,18.446944,73.785,11-05-2024 07:15,2024-05-11 07:15:00,2024,5,11,7,132,28.9
CWPRS campus,18.446944,73.785,11-05-2024 07:20,2024-05-11 07:20:00,2024,5,11,7,132,29.2
CWPRS campus,18.446944,73.785,11-05-2024 07:25,2024-05-11 07:25:00,2024,5,11,7,132,29.2
CWPRS campus,18.446944,73.785,11-05-2024 07:30,2024-05-11 07:30:00,2024,5,11,7,132,29.5
CWPRS campus,18.446944,73.785,11-05-2024 07:35,2024-05-11 07:35:00,2024,5,11,7,132,29.6
CWPRS campus,18.446944,73.785,11-05-2024 07:40,2024-05-11 07:40:00,2024,5,11,7,132,29.9
CWPRS campus,18.446944,73.785,11-05-2024 07:45,2024-05-11 07:45:00,2024,5,11,7,132,30.0
CWPRS campus,18.446944,73.785,11-05-2024 07:50,2024-05-11 07:50:00,2024,5,11,7,132,30.1
CWPRS campus,18.446944,73.785,11-05-2024 07:55,2024-05-11 07:55:00,2024,5,11,7,132,30.2
CWPRS campus,18.446944,73.785,11-05-2024 08:00,2024-05-11 08:00:00,2024,5,11,8,132,30.1
CWPRS campus,18.446944,73.785,11-05-2024 08:05,2024-05-11 08:05:00,2024,5,11,8,132,30.4
CWPRS campus,18.446944,73.785,11-05-2024 08:10,2024-05-11 08:10:00,2024,5,11,8,132,30.6
